author,work,metronome,meter
Medhātithi Kāṇva,b01_h012_09,S.SS.SwSwS.|wSS.SwSww.|SS.wSw.wwww|,gāyatrī
Medhātithi Kāṇva,b01_h012_10,w.S.wSw.SwS.|SS.SS.wS.ww.|ww.SS.wS.w.S|,gāyatrī
Medhātithi Kāṇva,b01_h012_11,w.S.wSw.S.ww.|SSSw.wSwS.|wS.SwwS.wS|,gāyatrī
Medhātithi Kāṇva,b01_h012_12,SS.SSw.SwS.|SSS.SwSww.|wS.SS.wSw.S|,gāyatrī
Medhātithi Kāṇva,b01_h013_01,wwSS.w.S.ww.|SS.SS.wSwS.|SS.wSw.Sw.w|,gāyatrī
Medhātithi Kāṇva,b01_h013_02,wwSS.wSwS.|SS.SSw.S.wS.|SS.www.SwS|,gāyatrī
Medhātithi Kāṇva,b01_h013_03,wSSw.wS.ww.|SS.Sw.wS.wS.|wwSS.wSwS|,gāyatrī
Medhātithi Kāṇva,b01_h013_04,SS.wwwS.wS.|SS.Sww.S.ww.|ww.SS.wSwS|,gāyatrī
Medhātithi Kāṇva,b01_h013_05,wSw.Sw.SwS.|wwSS.wSwS.|SSwSw.SwS|,gāyatrī
Medhātithi Kāṇva,b01_h013_06,S.wSS.wSwS.|SS.SS.wSww.|SS.SS.w.SwS|,gāyatrī
Medhātithi Kāṇva,b01_h013_07,SSSS.wSwS.|SS.Sw.wS.wS.|wS.S.Sw.SwS|,gāyatrī
Medhātithi Kāṇva,b01_h013_08,S.wSS.wS.wS.|SSS.SwS.wS.|SS.S.SwS.wS|,gāyatrī
Medhātithi Kāṇva,b01_h013_09,wS.wSwS.wS.|SS.SS.wSwS.|SS.SSw.SwS|,gāyatrī
Medhātithi Kāṇva,b01_h013_10,wS.SSw.SwS.|SwSw.wS.wS.|SSw.Sw.SwS|,gāyatrī
Medhātithi Kāṇva,b01_h013_11,ww.wS.wSwS.|Sw.SSwS.wS.|w.Sw.Sw.SwS|,gāyatrī
Medhātithi Kāṇva,b01_h013_12,SS.SS.wSww.|SSw.SwS.wS.|Sw.SS.wS.wS|,gāyatrī
Medhātithi Kāṇva,b01_h014_01,Sw.SS.wS.wS.|SSS.SwSwS.|SSS.Sw.Sw.w|,gāyatrī
Medhātithi Kāṇva,b01_h014_02,S.S.SS.wSww.|wSw.Sw.S.wS.|SSw.Sw.S.ww|,gāyatrī
Medhātithi Kāṇva,b01_h014_03,SwSS.wSwS.|SSS.SwS.ww.|SSS.SwS.wS|,gāyatrī
Medhātithi Kāṇva,b01_h014_04,w.S.wSw.SwS.|SwS.SwSwS.|SS.SS.wSwS|,gāyatrī
Medhātithi Kāṇva,b01_h014_05,SwS.S.wSwS.|SSS.SwSwS.|wSSS.wSwS|,gāyatrī
Medhātithi Kāṇva,b01_h014_06,wwSS.wSwS.|S.S.wSw.Sww.|S.SS.SwSwS|,gāyatrī
